Institution Code,Institution Name,City,State,Country,Institution Type,Field of study,Credential Level,Official Program Pass/Zone/Fail,Debt-to-Earnings Annual Rate,Debt (numerator),Annual Earnings (denominator),Debt-to-Earnings Annual Rate Pass/Fail/Zone,Debt-to-Earnings Discretionary Income Rate,Debt Discretionary Income Rate (numerator),Earnings Discretionary Income Rate (denominator),Debt-to-Earnings Discretionary Income Rate Pass/Fail/Zone,Mean  Annual Earnings From SSA,Median Annual Earnings from SSA,Field Study Grouped
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,COMPUTER SYSTEMS NETWORKING AND TELECOMMUNICATIONS.,02 - ASSOCIATES DEGREE,ZONE,14.56,4592,31525,FAIL,33.1,4592,13870,FAIL,31525,31387,Others
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,NETWORK AND SYSTEM ADMINISTRATION/ADMINISTRATOR.,02 - ASSOCIATES DEGREE,ZONE,12.03,4079,33904,FAIL,25.1,4079,16249,ZONE,33305,33904,Management & Administration
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,NETWORK AND SYSTEM ADMINISTRATION/ADMINISTRATOR.,03 - BACHELORS DEGREE,PASS,11.48,5291,46083,ZONE,18.61,5291,28428,PASS,44941,46083,Management & Administration
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,COMPUTER AND INFORMATION SYSTEMS SECURITY/INFORMATION ASSURANCE.,03 - BACHELORS DEGREE,PASS,11.29,4998,44237,ZONE,18.8,4998,26582,PASS,44237,42979,Others
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"ELECTRICAL, ELECTRONIC AND COMMUNICATIONS ENGINEERING TECHNOLOGY/TECHNICIAN.",02 - ASSOCIATES DEGREE,ZONE,13.89,4686,33718,FAIL,29.17,4686,16063,ZONE,33718,32720,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"ELECTRICAL, ELECTRONIC AND COMMUNICATIONS ENGINEERING TECHNOLOGY/TECHNICIAN.",03 - BACHELORS DEGREE,PASS,11.21,5221,46550,ZONE,18.06,5221,28895,PASS,46550,45421,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,MANUFACTURING ENGINEERING TECHNOLOGY/TECHNICIAN.,03 - BACHELORS DEGREE,PASS,9.91,5473,55204,ZONE,14.57,5473,37549,PASS,54172,55204,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,CAD/CADD DRAFTING AND/OR DESIGN TECHNOLOGY/TECHNICIAN.,02 - ASSOCIATES DEGREE,ZONE,14.94,4797,32100,FAIL,33.2,4797,14445,FAIL,31587,32100,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,LEGAL ASSISTANT/PARALEGAL.,02 - ASSOCIATES DEGREE,FAIL,20.91,4716,22548,FAIL,96.38,4716,4893,FAIL,22548,22094,Others
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,CRIMINAL JUSTICE/LAW ENFORCEMENT ADMINISTRATION.,02 - ASSOCIATES DEGREE,FAIL,20.72,4623,22310,FAIL,99.31,4623,4655,FAIL,22310,21460,Management & Administration
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,CRIMINAL JUSTICE/LAW ENFORCEMENT ADMINISTRATION.,03 - BACHELORS DEGREE,FAIL,24.55,6417,26131,FAIL,75.7,6417,8476,FAIL,26131,25928,Management & Administration
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"DESIGN AND VISUAL COMMUNICATIONS, GENERAL.",02 - ASSOCIATES DEGREE,FAIL,23.19,4612,19884,FAIL,206.9,4612,2229,FAIL,19884,18916,Others
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,HEALTH INFORMATION/MEDICAL RECORDS TECHNOLOGY/TECHNICIAN.,02 - ASSOCIATES DEGREE,FAIL,17.62,4521,25644,FAIL,56.59,4521,7989,FAIL,25644,24425,Health field
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,REGISTERED NURSING/REGISTERED NURSE.,02 - ASSOCIATES DEGREE,PASS,9.21,4632,50267,ZONE,14.2,4632,32612,PASS,48149,50267,Health field
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",02 - ASSOCIATES DEGREE,FAIL,16.68,4504,26998,FAIL,48.2,4504,9343,FAIL,26998,25072,Economy and Business
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,ZONE,14.2,5333,37544,FAIL,26.81,5333,19889,ZONE,37544,35693,Economy and Business
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",05 - MASTERS DEGREE,PASS,3.98,2014,50482,PASS,6.13,2014,32827,PASS,50482,43093,Economy and Business
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,E-COMMERCE/ELECTRONIC COMMERCE.,03 - BACHELORS DEGREE,ZONE,13.64,5014,36758,FAIL,26.24,5014,19103,ZONE,36758,29995,Economy and Business
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,ACCOUNTING TECHNOLOGY/TECHNICIAN AND BOOKKEEPING.,02 - ASSOCIATES DEGREE,FAIL,17.22,4891,28392,FAIL,45.55,4891,10737,FAIL,28392,26257,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,ACCOUNTING TECHNOLOGY/TECHNICIAN AND BOOKKEEPING.,03 - BACHELORS DEGREE,ZONE,14.42,4907,34013,FAIL,29.99,4907,16358,ZONE,29615,34013,Sciences
7329,ITT TECHNICAL INSTITUTE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,CONSTRUCTION MANAGEMENT.,03 - BACHELORS DEGREE,PASS,13.19,5460,41374,FAIL,23.01,5460,23719,ZONE,41374,40903,Management & Administration
7350,ANOKA TECHNICAL COLLEGE,ANOKA,MN,United States,PUBLIC 2 TO 3 YEARS,ELECTRICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,3.52,1657,47072,PASS,5.63,1657,29417,PASS,45517,47072,Others
7350,ANOKA TECHNICAL COLLEGE,ANOKA,MN,United States,PUBLIC 2 TO 3 YEARS,WELDING TECHNOLOGY/WELDER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.88,468,52644,PASS,1.33,468,34989,PASS,52644,45806,Sciences
7350,ANOKA TECHNICAL COLLEGE,ANOKA,MN,United States,PUBLIC 2 TO 3 YEARS,MEDICAL INSURANCE CODING SPECIALIST/CODER.,01 - UNDERGRADUATE CERTIFICATE,PASS,2.7,948,35087,PASS,5.43,948,17432,PASS,35087,30806,Health field
7350,ANOKA TECHNICAL COLLEGE,ANOKA,MN,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,3.62,1310,36148,PASS,7.08,1310,18493,PASS,36148,35735,Health field
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,RADIO AND TELEVISION BROADCASTING TECHNOLOGY/TECHNICIAN.,02 - ASSOCIATES DEGREE,ZONE,11.77,3089,26225,ZONE,36.04,3089,8570,FAIL,26225,26066,Sciences
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,INFORMATION TECHNOLOGY.,03 - BACHELORS DEGREE,PASS,4.49,3151,70131,PASS,6,3151,52476,PASS,70131,66730,Sciences
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,COMPUTER SYSTEMS NETWORKING AND TELECOMMUNICATIONS.,02 - ASSOCIATES DEGREE,PASS,9.58,3406,35536,ZONE,19.04,3406,17881,PASS,35536,34643,Others
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,CRIMINAL JUSTICE/SAFETY STUDIES.,03 - BACHELORS DEGREE,FAIL,13.12,3896,29673,FAIL,32.41,3896,12018,FAIL,29316,29673,Others
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,"DESIGN AND VISUAL COMMUNICATIONS, GENERAL.",03 - BACHELORS DEGREE,ZONE,10.61,3382,31857,ZONE,23.81,3382,14202,ZONE,31083,31857,Others
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,COMMERCIAL PHOTOGRAPHY.,03 - BACHELORS DEGREE,FAIL,20.31,5436,26761,FAIL,59.69,5436,9106,FAIL,26761,25635,Others
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,GAME AND INTERACTIVE MEDIA DESIGN.,03 - BACHELORS DEGREE,ZONE,11.4,3803,33349,ZONE,24.23,3803,15694,ZONE,33349,32797,Others
7351,SANFORD-BROWN COLLEGE,BROOKLYN CENTER,MN,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,ZONE,12.07,4753,39363,FAIL,21.89,4753,21708,ZONE,39363,38445,Economy and Business
7362,MEDTECH COLLEGE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,MEDICAL/HEALTH MANAGEMENT AND CLINICAL ASSISTANT/SPECIALIST.,02 - ASSOCIATES DEGREE,ZONE,11.65,2600,22301,ZONE,55.96,2600,4646,FAIL,20315,22301,Health field
7362,MEDTECH COLLEGE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,MEDICAL INSURANCE CODING SPECIALIST/CODER.,02 - ASSOCIATES DEGREE,ZONE,10.85,2761,25433,ZONE,35.49,2761,7778,FAIL,24448,25433,Health field
7362,MEDTECH COLLEGE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,CLINICAL LABORATORY SCIENCE/MEDICAL TECHNOLOGY/TECHNOLOGIST.,02 - ASSOCIATES DEGREE,ZONE,9.82,3336,33963,ZONE,20.45,3336,16308,ZONE,31558,33963,Health field
7362,MEDTECH COLLEGE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,REGISTERED NURSING/REGISTERED NURSE.,02 - ASSOCIATES DEGREE,PASS,8.87,3336,37574,ZONE,16.74,3336,19919,PASS,37574,36786,Health field
7362,MEDTECH COLLEGE,INDIANAPOLIS,IN,United States,PROPRIETARY 4 YEARS OR MORE,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,02 - ASSOCIATES DEGREE,PASS,7.08,2278,32134,PASS,15.73,2278,14479,PASS,31547,32134,Health field
7367,MARINELLO SCHOOL OF BEAUTY,LAS VEGAS,NV,United States,PROPRIETARY 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,FAIL,12.46,1882,15102,FAIL,100,1882,0,FAIL,15102,14400,Others
7367,MARINELLO SCHOOL OF BEAUTY,LAS VEGAS,NV,United States,PROPRIETARY 2 TO 3 YEARS,HAIR STYLING/STYLIST AND HAIR DESIGN.,01 - UNDERGRADUATE CERTIFICATE,PASS,7.97,1164,14603,PASS,100,1164,0,FAIL,14603,14547,Others
7367,MARINELLO SCHOOL OF BEAUTY,LAS VEGAS,NV,United States,PROPRIETARY 2 TO 3 YEARS,AESTHETICIAN/ESTHETICIAN AND SKIN CARE SPECIALIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,5.77,874,15130,PASS,100,874,0,FAIL,15130,11909,Others
7367,MARINELLO SCHOOL OF BEAUTY,LAS VEGAS,NV,United States,PROPRIETARY 2 TO 3 YEARS,NAIL TECHNICIAN/SPECIALIST AND MANICURIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,3.32,542,16298,PASS,100,542,0,FAIL,16298,16114,Others
7371,MARINELLO SCHOOL OF BEAUTY,RENO,NV,United States,PROPRIETARY 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,ZONE,11.29,1583,14020,ZONE,100,1583,0,FAIL,14020,12171,Others
7371,MARINELLO SCHOOL OF BEAUTY,RENO,NV,United States,PROPRIETARY 2 TO 3 YEARS,AESTHETICIAN/ESTHETICIAN AND SKIN CARE SPECIALIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,5.58,874,15643,PASS,100,874,0,FAIL,15643,11052,Others
7371,MARINELLO SCHOOL OF BEAUTY,RENO,NV,United States,PROPRIETARY 2 TO 3 YEARS,NAIL TECHNICIAN/SPECIALIST AND MANICURIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,2.93,404,13761,PASS,100,404,0,FAIL,13761,11569,Others
7372,AUSTIN'S SCHOOL OF SPA TECHNOLOGY,ALBANY,NY,United States,PROPRIETARY LESS THAN 2 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,6.12,1046,17071,PASS,100,1046,0,FAIL,17071,15739,Others
7372,AUSTIN'S SCHOOL OF SPA TECHNOLOGY,ALBANY,NY,United States,PROPRIETARY LESS THAN 2 YEARS,BARBERING/BARBER.,01 - UNDERGRADUATE CERTIFICATE,PASS,4.73,793,16734,PASS,100,793,0,FAIL,16734,13013,Others
7372,AUSTIN'S SCHOOL OF SPA TECHNOLOGY,ALBANY,NY,United States,PROPRIETARY LESS THAN 2 YEARS,FACIAL TREATMENT SPECIALIST/FACIALIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,4.21,729,17275,PASS,100,729,0,FAIL,17275,14422,Others
7375,ISLAND DRAFTING & TECHNICAL INSTITUTE,AMITYVILLE,NY,United States,PROPRIETARY 2 TO 3 YEARS,ARCHITECTURAL DRAFTING AND ARCHITECTURAL CAD/CADD.,02 - ASSOCIATES DEGREE,PASS,11.74,4160,35409,ZONE,23.43,4160,17754,ZONE,35409,32119,Others
7387,LONG ISLAND BEAUTY SCHOOL,HAUPPAUGE,NY,United States,PROPRIETARY LESS THAN 2 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,5.73,791,13802,PASS,100,791,0,FAIL,13802,11467,Others
7388,LONG ISLAND BEAUTY SCHOOL,HEMPSTEAD,NY,United States,PROPRIETARY LESS THAN 2 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,6.76,874,12921,PASS,100,874,0,FAIL,12921,10319,Others
7391,BEAUTY SCHOOL OF MIDDLETOWN,MIDDLETOWN,NY,United States,PROPRIETARY LESS THAN 2 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,ZONE,8.76,1187,13545,ZONE,100,1187,0,FAIL,13545,9427,Others
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,LEGAL ASSISTANT/PARALEGAL.,02 - ASSOCIATES DEGREE,ZONE,11.7,2656,22682,ZONE,52.83,2656,5027,FAIL,22682,18067,Others
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,CRIMINAL JUSTICE/LAW ENFORCEMENT ADMINISTRATION.,03 - BACHELORS DEGREE,ZONE,10.42,2923,28043,ZONE,28.13,2923,10388,ZONE,28043,25882,Management & Administration
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,HEALTH/HEALTH CARE ADMINISTRATION/MANAGEMENT.,03 - BACHELORS DEGREE,ZONE,10.45,3421,32711,ZONE,22.72,3421,15056,ZONE,32711,30761,Health field
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,HEALTH INFORMATION/MEDICAL RECORDS TECHNOLOGY/TECHNICIAN.,02 - ASSOCIATES DEGREE,PASS,8.64,2755,31870,ZONE,19.38,2755,14215,PASS,31870,31436,Health field
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",02 - ASSOCIATES DEGREE,PASS,6.26,2034,32488,PASS,13.71,2034,14833,PASS,32488,28223,Economy and Business
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,PASS,7.82,3094,39534,PASS,14.14,3094,21879,PASS,39534,35982,Economy and Business
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,ACCOUNTING.,03 - BACHELORS DEGREE,PASS,6.89,2814,40808,PASS,12.15,2814,23153,PASS,40808,39268,Economy and Business
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,FINANCIAL PLANNING AND SERVICES.,03 - BACHELORS DEGREE,PASS,6.93,2733,39417,PASS,12.55,2733,21762,PASS,37299,39417,Others
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,INTERNATIONAL BUSINESS/TRADE/COMMERCE.,03 - BACHELORS DEGREE,PASS,8.87,2847,32068,ZONE,19.75,2847,14413,PASS,31820,32068,Economy and Business
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,"MANAGEMENT INFORMATION SYSTEMS, GENERAL.",03 - BACHELORS DEGREE,PASS,9.17,3282,35770,ZONE,18.11,3282,18115,PASS,35770,34943,Management & Administration
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,"MARKETING/MARKETING MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,PASS,8.1,2927,36098,ZONE,15.87,2927,18443,PASS,34399,36098,Management & Administration
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,FASHION MERCHANDISING.,02 - ASSOCIATES DEGREE,PASS,6.45,1772,27443,PASS,18.1,1772,9788,PASS,27443,23702,Others
7394,BERKELEY COLLEGE,NEW YORK,NY,United States,PROPRIETARY 4 YEARS OR MORE,FASHION MERCHANDISING.,03 - BACHELORS DEGREE,ZONE,9.51,3032,31876,ZONE,21.32,3032,14221,ZONE,31876,30698,Others
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,FASHION/APPAREL DESIGN.,02 - ASSOCIATES DEGREE,ZONE,11.54,1883,16306,ZONE,100,1883,0,FAIL,16306,14053,Others
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,GRAPHIC DESIGN.,02 - ASSOCIATES DEGREE,ZONE,9.49,1722,18144,ZONE,352.14,1722,489,FAIL,17367,18144,Others
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,MEDICAL/CLINICAL ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,5.03,1052,20910,PASS,32.31,1052,3255,FAIL,20639,20910,Health field
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,MEDICAL/CLINICAL ASSISTANT.,02 - ASSOCIATES DEGREE,ZONE,9.78,1657,16941,ZONE,100,1657,0,FAIL,16941,15245,Health field
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,ACCOUNTING TECHNOLOGY/TECHNICIAN AND BOOKKEEPING.,02 - ASSOCIATES DEGREE,PASS,6.71,1507,22444,PASS,31.46,1507,4789,FAIL,21296,22444,Sciences
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,"ADMINISTRATIVE ASSISTANT AND SECRETARIAL SCIENCE, GENERAL.",02 - ASSOCIATES DEGREE,ZONE,9.32,1576,16896,ZONE,100,1576,0,FAIL,16173,16896,Sciences
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,HOTEL/MOTEL ADMINISTRATION/MANAGEMENT.,02 - ASSOCIATES DEGREE,PASS,6.24,1657,26524,PASS,18.68,1657,8869,PASS,26524,26351,Management & Administration
7405,WOOD TOBE - COBURN SCHOOL,NEW YORK,NY,United States,PROPRIETARY 2 TO 3 YEARS,RETAILING AND RETAIL OPERATIONS.,02 - ASSOCIATES DEGREE,PASS,9.04,1985,21936,ZONE,46.36,1985,4281,FAIL,21936,17612,Others
7430,ANTONELLI INSTITUTE,ERDENHEIM,PA,United States,PROPRIETARY 2 TO 3 YEARS,GRAPHIC DESIGN.,02 - ASSOCIATES DEGREE,ZONE,8.87,1657,18666,ZONE,163.89,1657,1011,FAIL,18666,18085,Others
7430,ANTONELLI INSTITUTE,ERDENHEIM,PA,United States,PROPRIETARY 2 TO 3 YEARS,PHOTOGRAPHY.,02 - ASSOCIATES DEGREE,ZONE,9.93,1657,16685,ZONE,100,1657,0,FAIL,16685,15783,Others
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,COMPUTER SYSTEMS NETWORKING AND TELECOMMUNICATIONS.,02 - ASSOCIATES DEGREE,FAIL,20.29,2653,13069,FAIL,100,2653,0,FAIL,13069,7870,Others
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,MEDICAL/CLINICAL ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,ZONE,10.62,1308,12305,ZONE,100,1308,0,FAIL,12305,8895,Health field
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,MEDICAL/CLINICAL ASSISTANT.,02 - ASSOCIATES DEGREE,FAIL,16.06,2462,15329,FAIL,100,2462,0,FAIL,15279,15329,Health field
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",02 - ASSOCIATES DEGREE,FAIL,12.29,2451,19928,FAIL,107.83,2451,2273,FAIL,19928,18925,Economy and Business
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,ACCOUNTING.,02 - ASSOCIATES DEGREE,ZONE,9.18,1854,20193,ZONE,73.04,1854,2538,FAIL,20193,15497,Economy and Business
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,CRIMINAL JUSTICE/SAFETY STUDIES.,02 - ASSOCIATES DEGREE,PASS,13.3,2320,17435,FAIL,100,2320,0,FAIL,17435,14536,Others
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,ELECTRICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,9.33,1794,19228,ZONE,114.04,1794,1573,FAIL,19228,15003,Others
7436,BRIGHTWOOD CAREER INSTITUTE,PITTSBURGH,PA,United States,PROPRIETARY 2 TO 3 YEARS,OCCUPATIONAL THERAPIST ASSISTANT.,02 - ASSOCIATES DEGREE,PASS,7.44,2761,37074,PASS,14.21,2761,19419,PASS,34737,37074,Others
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,COMPUTER GRAPHICS.,02 - ASSOCIATES DEGREE,ZONE,10.6,2577,20602,ZONE*,87.44,2577,2947,FAIL,20602,20210,Others
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES, OTHER.",02 - ASSOCIATES DEGREE,ZONE,11.64,2813,24158,ZONE,43.25,2813,6503,FAIL,23302,24158,Others
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,MEDICAL/HEALTH MANAGEMENT AND CLINICAL ASSISTANT/SPECIALIST.,02 - ASSOCIATES DEGREE,ZONE,11.48,2713,23631,ZONE,45.39,2713,5976,FAIL,22070,23631,Health field
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,SURGICAL TECHNOLOGY/TECHNOLOGIST.,02 - ASSOCIATES DEGREE,ZONE,10.95,3316,30273,ZONE,26.27,3316,12618,ZONE,29646,30273,Health field
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",02 - ASSOCIATES DEGREE,ZONE,11.14,2586,23197,ZONE,46.66,2586,5542,FAIL,21727,23197,Economy and Business
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,HOTEL/MOTEL ADMINISTRATION/MANAGEMENT.,02 - ASSOCIATES DEGREE,ZONE,11.07,2656,20897,ZONE*,81.92,2656,3242,FAIL,20106,20897,Management & Administration
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,"COMPUTER PROGRAMMING/PROGRAMMER, GENERAL.",02 - ASSOCIATES DEGREE,PASS,8.5,2628,30905,ZONE,19.83,2628,13250,PASS,30905,29206,Others
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,"WEB PAGE, DIGITAL/MULTIMEDIA AND INFORMATION RESOURCES DESIGN.",02 - ASSOCIATES DEGREE,PASS,10.11,2610,25814,ZONE,31.98,2610,8159,FAIL,25814,23741,Others
7437,PITTSBURGH TECHNICAL INSTITUTE,OAKDALE,PA,United States,PROPRIETARY 4 YEARS OR MORE,NETWORK AND SYSTEM ADMINISTRATION/ADMINISTRATOR.,01 - UNDERGRADUATE CERTIFICATE,PASS,1.85,932,50149,PASS,2.86,932,32494,PASS,50149,46053,Management & Administration
